region,station_name,Promotion Price,promo_statId,promo_chgerId,type,speed(kwh),address,location_detail,lati,longi,First_floor,is_fast,parking_free,only_taxi,,,,,,,,,,,
경남,거제국민체육센터(거제스포츠파크),253,HM001388,04,초급속,100,경상남도 거제시 거제면 거제남서로 3485-17,"옥외주차장, 주 경기장 북쪽 주차장",34.8539287000,128.5813113000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,거제국민체육센터(거제스포츠파크),253,HM001388,03,초급속,100,경상남도 거제시 거제면 거제남서로 3485-17,"옥외주차장, 주 경기장 북쪽 주차장",34.8539287000,128.5813113000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,거제국민체육센터(거제스포츠파크),253,HM001388,02,초급속,100,경상남도 거제시 거제면 거제남서로 3485-17,"옥외주차장, 주 경기장 북쪽 주차장",34.8539287000,128.5813113000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,거제국민체육센터(거제스포츠파크),253,HM001388,01,초급속,100,경상남도 거제시 거제면 거제남서로 3485-17,"옥외주차장, 주 경기장 북쪽 주차장",34.8539287000,128.5813113000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,하청스포츠타운,253,HM001389,02,초급속,100,경상남도 거제시 하청면 사환2길 80,스포츠타운 입구 옥외주차장,34.9595558000,128.6515789000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,하청스포츠타운,253,HM001389,01,초급속,100,경상남도 거제시 하청면 사환2길 80,스포츠타운 입구 옥외주차장,34.9595558000,128.6515789000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,거제시 아주공설운동장,299,HM001390,02,초급속,100,경상남도 거제시 아주로3길 55-1,옥외주차장,34.8627233000,128.6885151000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,거제시 아주공설운동장,299,HM001390,01,초급속,100,경상남도 거제시 아주로3길 55-1,옥외주차장,34.8627233000,128.6885151000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,거제시 둔덕가족생활체육공원,253,HM001391,02,초급속,100,경상남도 거제시 둔덕면 하둔리 645,옥외주차장,34.8343406000,128.5041039000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,거제시 둔덕가족생활체육공원,253,HM001391,01,초급속,100,경상남도 거제시 둔덕면 하둔리 645,옥외주차장,34.8343406000,128.5041039000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,거제시 옥포종합운동장,299,HM001393,01,급속,50,경상남도 거제시 국산로 187,옥외주차장,34.9014188000,128.6944528000,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,
경남,거제시 실내체육관,299,HM001394,02,초급속,100,경상남도 거제시 계룡로11길 27,옥외주차장,34.8828195000,128.6165335000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,거제시 실내체육관,299,HM001394,01,초급속,100,경상남도 거제시 계룡로11길 27,옥외주차장,34.8828195000,128.6165335000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,거제시 지세포 일운종합운동장,253,HM001395,04,초급속,100,경상남도 거제시 일운면 거제대로 2443-28,옥외주차장,34.8224316000,128.7061487000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,거제시 지세포 일운종합운동장,253,HM001395,03,초급속,100,경상남도 거제시 일운면 거제대로 2443-28,옥외주차장,34.8224316000,128.7061487000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,거제시 지세포 일운종합운동장,253,HM001395,02,초급속,100,경상남도 거제시 일운면 거제대로 2443-28,옥외주차장,34.8224316000,128.7061487000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,거제시 지세포 일운종합운동장,253,HM001395,01,초급속,100,경상남도 거제시 일운면 거제대로 2443-28,옥외주차장,34.8224316000,128.7061487000,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,용원동공영주차빌딩,280,HM001477,02,초급속,100,경상남도 창원시 진해구 용원로41번길 8,,35.1002591340,128.8143601000,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,용원동공영주차빌딩,280,HM001477,01,초급속,100,경상남도 창원시 진해구 용원로41번길 8,,35.1002591340,128.8143601000,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,
경남,팔룡동공영주차빌딩,280,HM001478,02,초급속,100,경상남도 창원시 의창구 창원대로397번길 8-17,,35.2346433920,128.6428687700,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,
